country,year,pop,continent,lifeExp,gdpPercap
강다니엘,1,57,B,10,23
강다니엘,2,94,B,10,23
강다니엘,3,130,A,5,12
강다니엘,4,134,A,5,12
강다니엘,5,169,A,5,5
강다니엘,6,171,A,5,2
강다니엘,7,306,A,5,2
강다니엘,8,393,A,5,8
강다니엘,9,460,A,5,8
강다니엘,10,568,A,5,1
강다니엘,11,602,A,5,1
강다니엘,12,602,A,5,1
박지훈,1,57,C,24,1
박지훈,2,94,C,24,1
박지훈,3,130,B,16,1
박지훈,4,134,B,16,1
박지훈,5,169,B,16,1
박지훈,6,171,B,16,3
박지훈,7,306,B,16,3
박지훈,8,393,B,16,3
박지훈,9,460,B,16,3
박지훈,10,568,B,16,2
박지훈,11,602,B,16,2
박지훈,12,602,B,16,2
이대휘,1,46,A,1,3
이대휘,2,127,A,1,3
이대휘,3,232,A,1,2
이대휘,4,284,A,1,2
이대휘,5,317,A,1,7
이대휘,6,384,A,1,10
이대휘,7,386,A,1,10
이대휘,8,409,A,1,4
이대휘,9,446,A,1,4
이대휘,10,521,A,1,10
이대휘,11,596,A,1,3
이대휘,12,596,A,1,3
